Effective date ,S&P 500
5/2/2020,3334.69
6/2/2020,3345.78
7/2/2020,3327.71
10/2/2020,3352.09
11/2/2020,3357.75
12/2/2020,3379.45
13/2/2020,3373.94
14/2/2020,3380.16
18/2/2020,3370.29
19/2/2020,3386.15
20/2/2020,3373.23
21/2/2020,3337.75
24/2/2020,3225.89
25/2/2020,3128.21
26/2/2020,3116.39
27/2/2020,2978.76
28/2/2020,2954.22
2/3/2020,3090.23
3/3/2020,3003.37
4/3/2020,3130.12
5/3/2020,3023.94
6/3/2020,2972.37
9/3/2020,2746.56
10/3/2020,2882.23
11/3/2020,2741.38
12/3/2020,2480.64
13/3/2020,2711.02
16/3/2020,2386.13
17/3/2020,2529.19
18/3/2020,2398.1
19/3/2020,2409.39
20/3/2020,2304.92
23/3/2020,2237.4
24/3/2020,2447.33
25/3/2020,2475.56
26/3/2020,2630.07
27/3/2020,2541.47
30/3/2020,2626.65
31/3/2020,2584.59
1/4/2020,2470.5
2/4/2020,2526.9
3/4/2020,2488.65
6/4/2020,2663.68
7/4/2020,2659.41
8/4/2020,2749.98
9/4/2020,2789.82
13/4/2020,2761.63
14/4/2020,2846.06
15/4/2020,2783.36
16/4/2020,2799.55
17/4/2020,2874.56
20/4/2020,2823.16
21/4/2020,2736.56
22/4/2020,2799.31
23/4/2020,2797.8
24/4/2020,2836.74
27/4/2020,2878.48
28/4/2020,2863.39
29/4/2020,2939.51
30/4/2020,2912.43
1/5/2020,2830.71
4/5/2020,2842.74
5/5/2020,2868.44
6/5/2020,2848.42
7/5/2020,2881.19
8/5/2020,2929.8
11/5/2020,2930.32
12/5/2020,2870.12
13/5/2020,2820
14/5/2020,2852.5
15/5/2020,2863.7
18/5/2020,2953.91
19/5/2020,2922.94
20/5/2020,2971.61
21/5/2020,2948.51
22/5/2020,2955.45
26/5/2020,2991.77
27/5/2020,3036.13
28/5/2020,3029.73
29/5/2020,3044.31
1/6/2020,3055.73
2/6/2020,3080.82
3/6/2020,3122.87
4/6/2020,3112.35
5/6/2020,3193.93
8/6/2020,3232.39
9/6/2020,3207.18
10/6/2020,3190.14
11/6/2020,3002.1
12/6/2020,3041.31
15/6/2020,3066.59
16/6/2020,3124.74
17/6/2020,3113.49
18/6/2020,3115.34
19/6/2020,3097.74
22/6/2020,3117.86
23/6/2020,3131.29
24/6/2020,3050.33
25/6/2020,3083.76
26/6/2020,3009.05
29/6/2020,3053.24
30/6/2020,3100.29
1/7/2020,3115.86
2/7/2020,3130.01
6/7/2020,3179.72
7/7/2020,3145.32
8/7/2020,3169.94
9/7/2020,3152.05
10/7/2020,3185.04
13/7/2020,3155.22
14/7/2020,3197.52
15/7/2020,3226.56
16/7/2020,3215.57
17/7/2020,3224.73
20/7/2020,3251.84
21/7/2020,3257.3
